username,quiz_id,quiz_title,score,completed_at
arshita,7,💻 C Programming (Basic Level),190,2025-11-10T20:32:30.745623
arshita,7,💻 C Programming (Basic Level),190,2025-11-10T20:34:55.364169
arshita,7,💻 C Programming (Basic Level),190,2025-11-10T20:35:03.343664
arshita,7,💻 C Programming (Basic Level),190,2025-11-10T20:38:37.780841
nehal,1,💾 C++ (Basic Level),130,2025-11-10T20:47:56.471897
nehal,1,💾 C++ (Basic Level),130,2025-11-10T20:48:07.762798
nehal,4,🐍 Python (Basic Level),200,2025-11-10T20:51:15.090775
mohit,8,💻 C Programming (Intermediate Level),140,2025-11-10T21:14:24.561766
rohan,2,💾 C++ (Intermediate Level),110,2025-11-10T21:17:41.010885
